# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.0168891 0.013037 0.0183009 0.048227 186.478
200 0.0799859 0.0685413 0.082215 0.230742 254.639
300 0.183669 0.179936 0.176444 0.54005 321.843
400 0.275906 0.305744 0.279701 0.861351 361.559
500 0.317849 0.367655 0.299906 0.985409 331.042
600 0.329625 0.370757 0.302896 1.00328 320.378
700 0.326027 0.36227 0.31376 1.00206 301.255
800 0.33533 0.366595 0.321934 1.02386 297.372
900 0.375241 0.39845 0.360244 1.13394 286.296
1000 0.420459 0.466652 0.392501 1.27961 301.247
1100 0.47658 0.486382 0.426695 1.38966 319.346
1200 0.48482 0.500153 0.407441 1.39241 317.095
1300 0.483249 0.534084 0.429777 1.44711 300.782
1400 0.517311 0.565192 0.481702 1.56421 299.082
1500 0.511009 0.563098 0.513469 1.58758 289.742
1600 0.508919 0.574598 0.464046 1.54756 309.837
1700 0.499346 0.639706 0.468679 1.60773 324.891
1800 0.527654 0.677442 0.523585 1.72868 306.465
1900 0.514703 0.686635 0.491272 1.69261 289.021
2000 0.486881 0.672092 0.449229 1.6082 296.874
2100 0.481411 0.667045 0.414838 1.56329 335.52
2200 0.496748 0.673203 0.425345 1.5953 331.947
2300 0.574877 0.710129 0.427396 1.7124 304.404
2400 0.602992 0.702475 0.403686 1.70915 299.192
2500 0.637645 0.751114 0.443945 1.8327 284.488
2600 0.664908 0.782509 0.494885 1.9423 300.663
2700 0.667443 0.850587 0.507336 2.02536 295.176
2800 0.645733 0.919999 0.543959 2.10969 314.899
2900 0.661503 0.913785 0.597381 2.17267 304.158
3000 0.685583 0.919692 0.591029 2.1963 301.785
3100 0.699204 0.841646 0.576709 2.11756 296.573
3200 0.696808 0.782923 0.546005 2.02574 296.785
3300 0.685463 0.765751 0.534905 1.98612 299.14
3400 0.647744 0.790702 0.531253 1.9697 292.67
3500 0.638422 0.78088 0.534278 1.95358 309.788
3600 0.611614 0.786467 0.556858 1.95494 313.171
3700 0.593864 0.856877 0.575847 2.02659 292.604
3800 0.53053 0.938268 0.556754 2.02555 295.938
3900 0.471664 0.861948 0.50465 1.83826 298.457
4000 0.502076 0.83285 0.521609 1.85653 300.279
4100 0.512717 0.878015 0.567708 1.95844 310.645
4200 0.53674 0.868488 0.575218 1.98045 305.302
4300 0.556379 0.88766 0.55045 1.99449 306.051
4400 0.547955 0.925771 0.572656 2.04638 297.403
4500 0.559952 0.907747 0.62235 2.09005 305.412
4600 0.616234 0.880307 0.695335 2.19188 306.598
4700 0.676758 0.877991 0.738733 2.29348 320.911
4800 0.687218 0.902992 0.757418 2.34763 320.065
4900 0.697738 0.914465 0.772931 2.38514 314.026
5000 0.718633 0.892066 0.743065 2.35376 293.913
5100 0.754927 0.861861 0.784601 2.40139 299.829
5200 0.784874 0.855242 0.786153 2.42627 277.829
5300 0.707393 0.868016 0.757659 2.33307 311.389
5400 0.663254 0.875317 0.743608 2.28218 312.21
5500 0.66744 0.83398 0.725418 2.22684 306.12
5600 0.660898 0.861378 0.698843 2.22112 298.312
5700 0.688891 0.879838 0.675699 2.24443 294.663
5800 0.726906 0.841396 0.690181 2.25848 290.86
5900 0.749494 0.834772 0.69971 2.28398 309.894
6000 0.72951 0.885025 0.689065 2.3036 304.427
6100 0.756067 0.896823 0.709701 2.36259 310.405
6200 0.753882 0.937304 0.696732 2.38792 281.786
6300 0.788016 0.978776 0.694018 2.46081 292.776
6400 0.746744 0.981064 0.675555 2.40336 303.265
6500 0.715822 0.958801 0.654362 2.32898 302.04
6600 0.682915 0.964804 0.675224 2.32294 313.538
6700 0.688576 0.945337 0.678818 2.31273 310.168
6800 0.668463 0.910835 0.66602 2.24532 300.322
6900 0.630609 0.904729 0.643766 2.1791 300.256
7000 0.644268 0.91106 0.681323 2.23665 286.577
7100 0.634767 0.891216 0.666411 2.19239 303.741
7200 0.615813 0.871224 0.680606 2.16764 311.24
7300 0.606485 0.906133 0.731964 2.24458 308.689
7400 0.611744 0.878867 0.743384 2.23399 302.956
7500 0.626805 0.86954 0.732329 2.22867 297.567
7600 0.627678 0.874063 0.726126 2.22787 295.467
7700 0.647324 0.907046 0.703385 2.25775 296.954
7800 0.679237 0.954255 0.681803 2.31529 299.755
7900 0.703344 0.958492 0.68496 2.3468 304.22
8000 0.775386 0.929565 0.699105 2.40406 300.839
8100 0.834324 0.977421 0.683634 2.49538 286.521
8200 0.851314 0.942834 0.690442 2.48459 293.589
8300 0.892215 0.943498 0.702716 2.53843 319.921
8400 0.890099 0.968446 0.69857 2.55711 320.952
8500 0.909256 0.99931 0.716949 2.62551 304.893
8600 0.97222 1.02602 0.741477 2.73972 301.89
8700 0.944005 1.0818 0.754226 2.78003 302.439
8800 0.921066 1.09351 0.727862 2.74243 291.492
8900 0.910615 1.09068 0.740056 2.74135 286.384
9000 0.867536 1.054 0.782165 2.7037 289.323
9100 0.867452 1.0365 0.796623 2.70058 304.584
9200 0.871257 1.02844 0.765939 2.66564 311.855
9300 0.86652 1.09414 0.738597 2.69925 299.617
9400 0.873826 1.03161 0.706353 2.61179 290.279
9500 0.892005 1.01285 0.723299 2.62816 297.935
9600 0.843996 1.04333 0.718431 2.60575 307.545
9700 0.79781 0.991424 0.724163 2.5134 313.625
9800 0.76279 0.962128 0.732477 2.45739 319.487
9900 0.765201 0.953992 0.75793 2.47712 312.781
10000 0.755939 0.970392 0.770659 2.49699 294.493
10100 0.742426 0.954709 0.746419 2.44355 297.468
10200 0.752147 1.00381 0.73863 2.49459 316.231
10300 0.735871 1.02084 0.723072 2.47979 299.695
10400 0.757577 0.975426 0.71182 2.44482 281.57
10500 0.7428 0.937214 0.702357 2.38237 284.408
10600 0.718647 0.928797 0.714611 2.36205 310.41
10700 0.700362 0.927949 0.720364 2.34867 308.657
10800 0.674938 0.907066 0.705627 2.28763 299.638
10900 0.666917 0.920546 0.703397 2.29086 298.687
11000 0.685649 0.948607 0.771514 2.40577 283.669
11100 0.686033 0.961966 0.784141 2.43214 298.643
11200 0.676543 0.939838 0.792672 2.40905 311.474
11300 0.686522 0.923336 0.812938 2.4228 311.066
11400 0.673175 0.892415 0.808049 2.37364 311.678
11500 0.655825 0.909101 0.805832 2.37076 316.204
11600 0.667728 0.944808 0.825135 2.43767 300.251
11700 0.680172 0.990277 0.866937 2.53739 282.787
11800 0.69327 0.994721 0.837788 2.52578 301.55
11900 0.686836 0.954392 0.814023 2.45525 312.976
12000 0.705427 0.917831 0.831994 2.45525 305.595
12100 0.712656 0.888154 0.797248 2.39806 304.413
12200 0.707864 0.871035 0.769211 2.34811 295.578
12300 0.711384 0.896988 0.782413 2.39079 298.627
12400 0.736458 0.905467 0.811143 2.45307 314.986
12500 0.753726 0.928238 0.833701 2.51567 318.462
12600 0.738135 0.960668 0.885874 2.58468 321.395
12700 0.720573 0.965384 0.88408 2.57004 293.164
12800 0.701491 1.01829 0.896495 2.61628 295.929
12900 0.706957 1.02713 0.899628 2.63372 299.204
13000 0.721244 1.03852 0.899686 2.65945 306.046
13100 0.731402 1.08372 0.917469 2.73259 313.925
13200 0.723071 1.06095 0.877945 2.66197 311.941
13300 0.731224 1.04764 0.841887 2.62075 293.46
13400 0.740215 1.08468 0.873413 2.69831 301.548
13500 0.783309 1.08189 0.914597 2.77979 292.274
13600 0.813392 1.04209 0.948722 2.8042 309.521
13700 0.838518 0.980288 0.981804 2.80061 333.731
13800 0.813179 0.961514 0.893638 2.66833 323.478
13900 0.738279 0.892155 0.842137 2.47257 304.637
14000 0.741291 0.907602 0.820923 2.46982 297.936
14100 0.733445 0.929575 0.810425 2.47345 288.628
14200 0.724087 0.945752 0.816391 2.48623 290.327
14300 0.73091 0.975954 0.7968 2.50366 305.557
14400 0.746859 0.987891 0.803156 2.53791 312.706
14500 0.780477 0.987464 0.845632 2.61357 296.922
14600 0.792587 0.961186 0.917701 2.67147 292.839
14700 0.7869 0.989415 0.881543 2.65786 308.115
14800 0.777572 1.01682 0.89866 2.69305 319.182
14900 0.766912 1.01639 0.915749 2.69905 313.183
15000 0.758561 1.02903 0.968669 2.75626 304.02
15100 0.796896 1.03016 0.99791 2.82496 291.329
15200 0.796892 1.05371 1.01625 2.86685 294.692
15300 0.797427 1.05869 1.00937 2.86548 308.775
15400 0.82572 1.06029 1.01996 2.90597 310.425
15500 0.790624 1.05946 1.03178 2.88186 299.966
15600 0.736732 1.02033 0.990934 2.74799 282.97
15700 0.730946 0.955598 0.956817 2.64336 300.221
15800 0.750656 0.931626 0.862692 2.54497 310.321
15900 0.742659 0.959963 0.843116 2.54574 298.865
16000 0.74587 0.973032 0.827279 2.54618 292.358
16100 0.715735 0.938799 0.828879 2.48341 297.321
16200 0.729176 0.963528 0.820734 2.51344 304.443
