# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.0159245 0.0117818 0.0106335 0.0383398 179.067
200 0.0564849 0.0372373 0.0304584 0.124181 211.216
300 0.100804 0.0649576 0.0516823 0.217443 253.124
400 0.144048 0.09834 0.0784547 0.320843 278.341
500 0.174635 0.123996 0.111787 0.410419 301.26
600 0.198107 0.147355 0.131993 0.477455 307.02
700 0.183105 0.136827 0.134574 0.454507 323.318
800 0.168261 0.128156 0.11855 0.414968 303.928
900 0.140194 0.115422 0.113998 0.369614 296.967
1000 0.126925 0.109834 0.112408 0.349166 283.519
1100 0.117721 0.108154 0.112546 0.33842 294.656
1200 0.115133 0.0960625 0.125849 0.337045 299.069
1300 0.111825 0.0902513 0.108847 0.310923 310.865
1400 0.108504 0.0945557 0.0996595 0.302719 309.006
1500 0.0968713 0.0990271 0.0922463 0.288145 298.437
1600 0.109512 0.110537 0.0964747 0.316523 299.432
1700 0.12562 0.118369 0.112822 0.356811 293.004
1800 0.128156 0.137537 0.138289 0.403982 286.135
1900 0.153827 0.141674 0.159218 0.454719 311.148
2000 0.184417 0.139614 0.171987 0.496018 304.733
2100 0.199487 0.138861 0.175869 0.514218 295.937
2200 0.206085 0.130756 0.172991 0.509832 300.839
2300 0.193234 0.129246 0.165186 0.487667 281.975
2400 0.168846 0.131034 0.155702 0.455582 282.88
2500 0.164568 0.133693 0.163806 0.462067 310.289
2600 0.178445 0.14494 0.178867 0.502253 293.39
2700 0.180749 0.126768 0.170841 0.478359 296.564
2800 0.167228 0.106389 0.157189 0.430807 315.208
2900 0.172573 0.120765 0.157541 0.45088 300.64
3000 0.156814 0.11051 0.151516 0.418841 289.844
3100 0.147273 0.101975 0.133893 0.383141 288.041
3200 0.15497 0.106968 0.1313 0.393239 296.492
3300 0.152675 0.117853 0.148695 0.419223 307.632
3400 0.158517 0.144111 0.15447 0.457098 298.705
3500 0.155168 0.153163 0.157981 0.466312 290.856
3600 0.159565 0.14097 0.160306 0.460842 307.901
3700 0.16941 0.137879 0.162799 0.470087 323.331
3800 0.199061 0.164327 0.176471 0.539859 311.024
3900 0.222501 0.172176 0.180882 0.575559 301.255
4000 0.227227 0.168562 0.16897 0.564759 294.824
4100 0.216708 0.161988 0.171293 0.54999 296.659
4200 0.199153 0.1507 0.171066 0.520919 302.006
4300 0.162342 0.150454 0.157252 0.470048 322.884
4400 0.146058 0.14553 0.136688 0.428276 311.441
4500 0.155756 0.12895 0.137287 0.421994 298.433
4600 0.166586 0.130287 0.167827 0.464699 303.419
4700 0.161072 0.133987 0.170462 0.465521 298.651
4800 0.156684 0.146501 0.168904 0.472088 291.66
4900 0.166495 0.142453 0.163357 0.472304 325.667
5000 0.188751 0.143687 0.16405 0.496487 298.977
5100 0.20716 0.143017 0.166275 0.516452 291.794
5200 0.21481 0.137996 0.170911 0.523717 295.019
5300 0.217482 0.15145 0.188691 0.557623 294.249
5400 0.216908 0.156605 0.185911 0.559425 301.139
5500 0.196995 0.157315 0.174732 0.529042 314.244
5600 0.181153 0.174565 0.179537 0.535255 289.028
5700 0.165447 0.183646 0.178239 0.527332 286.876
5800 0.173031 0.182525 0.18781 0.543366 289.833
5900 0.170395 0.188167 0.189948 0.54851 296.334
6000 0.172649 0.192381 0.196202 0.561232 306.084
6100 0.169838 0.168114 0.181315 0.519268 306.583
6200 0.169005 0.158808 0.175957 0.50377 293.789
6300 0.162689 0.158086 0.170504 0.49128 294.923
6400 0.177428 0.14439 0.166761 0.48858 291.179
6500 0.189578 0.14661 0.170791 0.506979 304.434
6600 0.185396 0.149032 0.169336 0.503765 313.182
6700 0.170041 0.149963 0.156576 0.476579 313.594
6800 0.158941 0.149241 0.156244 0.464426 291.774
6900 0.153891 0.148423 0.156886 0.4592 289.582
7000 0.159185 0.160342 0.156449 0.475976 307.098
7100 0.158186 0.163635 0.151836 0.473656 306.684
7200 0.164725 0.161518 0.162683 0.488926 319.493
7300 0.180125 0.170268 0.177904 0.528296 317.584
7400 0.199224 0.186514 0.189026 0.574764 301.253
7500 0.208898 0.187228 0.197892 0.594019 303.732
7600 0.207763 0.185504 0.201349 0.594616 298.277
7700 0.211897 0.206182 0.209273 0.627352 293.454
7800 0.217758 0.204994 0.22099 0.643742 291.795
7900 0.224015 0.207718 0.226316 0.658049 294.989
8000 0.229873 0.203061 0.222756 0.65569 308.729
8100 0.214403 0.185346 0.209611 0.609361 310.477
8200 0.212675 0.171927 0.189491 0.574093 296.106
8300 0.200952 0.156461 0.180807 0.53822 291.392
8400 0.18604 0.15447 0.177182 0.517692 285.299
8500 0.19516 0.151052 0.18069 0.526902 298.52
8600 0.190849 0.149646 0.170639 0.511135 308.267
8700 0.188978 0.156279 0.166574 0.511831 309.018
8800 0.204304 0.15625 0.175469 0.536023 290.161
8900 0.209272 0.165167 0.179983 0.554422 304.091
9000 0.20812 0.166529 0.183825 0.558475 299.529
9100 0.228302 0.169905 0.199213 0.59742 296.906
9200 0.220021 0.173509 0.213924 0.607454 299.256
9300 0.221436 0.1784 0.213495 0.613332 289.593
9400 0.228575 0.186257 0.223387 0.638219 280.986
9500 0.21398 0.188212 0.207002 0.609195 303.239
9600 0.193905 0.188943 0.194195 0.577043 299.156
9700 0.204125 0.177533 0.200209 0.581867 300.871
9800 0.209948 0.178337 0.202576 0.590862 301.904
9900 0.204854 0.191881 0.205342 0.602078 293.251
10000 0.210018 0.189868 0.204066 0.603951 281.466
10100 0.218675 0.188955 0.210872 0.618502 292.211
10200 0.22256 0.192251 0.218677 0.633487 301.919
10300 0.227705 0.178844 0.226588 0.633137 301.59
10400 0.22903 0.182501 0.23073 0.64226 306.899
10500 0.239342 0.181935 0.225395 0.646673 298.995
10600 0.248721 0.1865 0.234359 0.669581 288.726
10700 0.266027 0.20151 0.244021 0.711559 282.679
10800 0.263859 0.218397 0.232883 0.715139 290.323
10900 0.276577 0.240092 0.243645 0.760313 299.072
