# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total Temperture
100 0.0245029 0.0223056 0.023219 0.0700274 225.122
200 0.106431 0.101005 0.102722 0.310158 266.677
300 0.180935 0.188715 0.178255 0.547905 314.189
400 0.219564 0.242977 0.235097 0.697639 325.787
500 0.275985 0.297454 0.297603 0.871042 335.119
600 0.353374 0.355685 0.348288 1.05735 353.076
700 0.397231 0.426682 0.39197 1.21588 326.308
800 0.415402 0.507471 0.52043 1.4433 301.925
900 0.435676 0.546747 0.616593 1.59902 290.728
1000 0.481258 0.566076 0.603526 1.65086 300.639
1100 0.567322 0.601705 0.60529 1.77432 310.252
1200 0.685009 0.677528 0.738136 2.10067 335.639
1300 0.838679 0.728464 0.856341 2.42348 326.698
1400 0.914092 0.791155 0.788107 2.49335 313.722
1500 0.867968 0.871486 0.78576 2.52521 300.302
1600 0.844526 0.959783 0.8839 2.68821 297.847
1700 0.822762 1.02948 0.914896 2.76714 304.736
1800 0.907389 1.02968 1.00463 2.9417 314.229
1900 0.968593 1.05247 1.09256 3.11362 303.851
2000 0.989225 1.13586 1.1623 3.28738 315.545
2100 1.07187 1.19801 1.29283 3.56271 311.249
2200 1.06057 1.22508 1.35723 3.64288 360.089
2300 0.993241 1.25565 1.38256 3.63144 375.142
2400 0.999811 1.27327 1.3769 3.64998 346.387
2500 0.990469 1.32389 1.34017 3.65453 322.188
2600 1.00128 1.40854 1.33287 3.74269 295.639
2700 1.06604 1.48274 1.32935 3.87813 288.392
2800 1.08292 1.47833 1.38996 3.95121 298.531
2900 1.08109 1.4997 1.40662 3.98741 313.575
3000 1.07529 1.58239 1.50976 4.16744 304.8
3100 1.14161 1.62285 1.56875 4.33321 311.074
3200 1.2565 1.57923 1.54925 4.38497 299.436
3300 1.42304 1.67098 1.5741 4.66811 313.57
3400 1.51397 1.74153 1.56424 4.81974 313.17
3500 1.54227 1.80528 1.55318 4.90073 306.815
3600 1.63757 1.84931 1.54175 5.02863 302.255
3700 1.66162 1.89777 1.50061 5.06 308.18
3800 1.58738 1.8781 1.43748 4.90295 291.188
3900 1.54193 1.83318 1.51794 4.89305 287.999
4000 1.6121 1.81381 1.57702 5.00293 299.859
4100 1.74722 1.84107 1.60384 5.19212 311.79
4200 1.70347 1.9586 1.70088 5.36295 313.464
4300 1.66841 1.97267 1.70633 5.3474 306.843
4400 1.66785 1.96955 1.65346 5.29086 302.443
4500 1.73136 2.01468 1.60639 5.35243 308.354
4600 1.77001 2.02225 1.60457 5.39683 303.687
4700 1.89542 2.09071 1.65838 5.64451 319.668
4800 1.95999 2.10008 1.6668 5.72686 311.166
4900 2.05763 2.06996 1.65968 5.78727 320.722
5000 2.17338 1.97582 1.72865 5.87784 333.783
5100 2.21201 1.93657 1.78998 5.93855 303.243
5200 2.22621 1.97483 1.77454 5.97558 311.467
5300 2.17168 1.94664 1.82592 5.94424 332.937
5400 2.22687 1.9487 1.90679 6.08236 298.364
5500 2.34103 1.93067 1.93481 6.20651 321.537
5600 2.38368 1.991 2.00285 6.37753 310.052
5700 2.45343 2.03159 2.113 6.59801 308.758
5800 2.59455 2.14752 2.07817 6.82024 298.868
5900 2.73569 2.164 2.12938 7.02907 302.517
6000 2.84147 2.16392 2.11704 7.12244 310.468
6100 2.79015 2.15851 2.12719 7.07586 285.428
6200 2.84425 2.21545 2.20692 7.26663 297.816
6300 2.89968 2.23139 2.24795 7.37902 297.456
6400 2.85113 2.19685 2.3122 7.36018 307.68
6500 2.99902 2.20014 2.33039 7.52955 301.806
6600 3.15561 2.31053 2.44963 7.91577 321.556
6700 3.14856 2.36892 2.59132 8.1088 325.314
6800 3.22546 2.31453 2.59342 8.13341 307.332
6900 3.21256 2.34899 2.68745 8.249 299.852
7000 3.25284 2.41471 2.68025 8.3478 289.186
7100 3.21785 2.43253 2.70875 8.35913 309.847
7200 3.24843 2.43612 2.71967 8.40422 301.318
7300 3.2359 2.45187 2.63143 8.3192 317.487
7400 3.20856 2.45035 2.62282 8.28173 298.671
7500 3.09623 2.36833 2.6626 8.12716 293.958
7600 3.13131 2.32944 2.76685 8.2276 302.133
7700 3.103 2.34856 2.77762 8.22918 307.259
7800 3.12614 2.36099 2.72122 8.20835 298.38
7900 3.1511 2.37582 2.69222 8.21914 286.196
8000 3.15056 2.37231 2.79263 8.31551 292.679
8100 3.0958 2.31066 2.84979 8.25625 314.325
8200 3.01313 2.29603 2.74447 8.05364 300.649
8300 3.02404 2.38489 2.71132 8.12025 298.567
8400 3.02898 2.36989 2.67915 8.07802 300.006
8500 3.08119 2.36207 2.65617 8.09943 310.081
8600 3.10849 2.36402 2.5858 8.05832 298.194
8700 3.06407 2.37641 2.56083 8.00131 290.97
8800 3.14502 2.38423 2.64071 8.16995 289.071
8900 3.23494 2.43668 2.74568 8.41731 305.886
9000 3.26563 2.47751 2.82205 8.56518 308.191
9100 3.30722 2.46595 2.9327 8.70587 300.84
9200 3.22363 2.36234 2.87659 8.46257 291.857
9300 3.16202 2.33306 2.78697 8.28205 291.861
9400 3.11587 2.33374 2.70426 8.15387 270.982
9500 3.11652 2.35099 2.66149 8.129 275.647
9600 3.10803 2.41715 2.65603 8.18122 300.098
9700 3.18895 2.44698 2.72171 8.35765 298.093
9800 3.1705 2.41128 2.78988 8.37167 310.588
9900 3.1401 2.37963 2.6499 8.16963 348.966
10000 3.18055 2.33678 2.68271 8.20004 332.226
10100 3.22727 2.34464 2.70679 8.27871 300.167
10200 3.25848 2.39204 2.69342 8.34395 297.828
10300 3.28511 2.34724 2.71731 8.34966 288.215
10400 3.2547 2.33297 2.73081 8.31849 300.304
10500 3.21239 2.32262 2.71705 8.25206 300.15
10600 3.18756 2.3712 2.6237 8.18246 305.355
10700 3.14678 2.43016 2.5839 8.16083 305.248
10800 3.11339 2.34948 2.68675 8.14961 293.395
10900 3.0497 2.33205 2.73177 8.11352 285.631
11000 3.11299 2.36532 2.72682 8.20513 296.993
11100 3.17592 2.33424 2.73955 8.24971 306.579
11200 3.13218 2.37867 2.72543 8.23628 318.933
11300 3.17773 2.4015 2.76936 8.3486 345.33
11400 3.17743 2.46615 2.81388 8.45747 321.607
11500 3.34138 2.46866 2.91471 8.72475 321.443
11600 3.5244 2.47003 2.93233 8.92676 310.691
11700 3.57994 2.51794 2.79428 8.89215 291.942
11800 3.56217 2.51942 2.77141 8.853 290.168
11900 3.55396 2.51976 2.82583 8.89956 299.573
12000 3.48897 2.5929 2.8191 8.90096 312.565
12100 3.4975 2.61479 2.84457 8.95686 302.757
12200 3.49216 2.55584 2.84528 8.89327 296.39
12300 3.5552 2.55612 2.80375 8.91507 285.018
12400 3.6949 2.52403 2.71542 8.93435 299.758
12500 3.76017 2.49481 2.70816 8.96315 303.653
12600 3.78892 2.46373 2.72781 8.98045 306.754
12700 3.84713 2.44817 2.76716 9.06246 322.096
12800 3.96403 2.41698 2.72783 9.10884 306.781
12900 3.895 2.47017 2.71782 9.083 308.203
13000 3.75754 2.50932 2.70135 8.96821 298.256
13100 3.82151 2.49124 2.69929 9.01204 295.851
13200 3.73018 2.42025 2.63599 8.78642 299.973
13300 3.83091 2.39366 2.58152 8.80608 303.899
13400 3.87282 2.36059 2.64734 8.88075 305.707
13500 3.76887 2.39547 2.70457 8.86891 323.31
13600 3.83548 2.41937 2.71931 8.97415 303.521
13700 3.93929 2.50269 2.75719 9.19917 299.658
13800 3.84739 2.49651 2.85082 9.19471 293.933
13900 3.96759 2.44371 2.91074 9.32204 306.385
14000 3.98263 2.46696 2.93563 9.38522 320.743
14100 3.93787 2.4874 2.94868 9.37395 308.295
14200 3.97068 2.47171 2.93243 9.37482 292.945
14300 4.08642 2.43772 2.91535 9.43949 301.863
14400 4.11205 2.42601 2.99109 9.52915 301.925
14500 4.14387 2.44047 2.97994 9.56429 298.088
14600 4.23078 2.36855 2.85984 9.45916 290.836
14700 4.03511 2.36294 2.75128 9.14933 294.11
14800 4.01739 2.37508 2.75679 9.14927 288.97
